Date,BillNo,Description,Qty,Rate,Gross Amnt,Discount,Net Amnt
2/5/2074,SI4293,Tic tac,1,20,20,,20
2/5/2074,SI4294,Cadbury celebrations rich dry fruit 177gm,1,640,640,,640
2/5/2074,SI4295,Cadbury celebrations rich dry fruit 177gm,1,640,640,,640
2/5/2074,SI4295,Dairy milk 34g,1,50,50,,50
2/5/2074,SI4295,Kit Kat red 41.5g,1,70,70,,70
2/5/2074,SI4295,Soan papdi veg 250 mg,1,152,152,,152
2/5/2074,SI4296,Dairy milk silk caramello 60 gm,1,150,150,,150
2/5/2074,SI4296,Dairy milk silk bubbly 50 gm,1,150,150,,150
2/5/2074,SI4297,Cadbury celebration 199g,2,255,510,,510
2/5/2074,SI4298,Dahi 1000ml,1,120,120,,120
2/5/2074,SI4298,DDC paneer 200gm,1,115,115,,115
2/5/2074,SI4298,Soda 100gr,1,10,10,,10
2/5/2074,SI4298,Gulab jamun 1kg,1,460,460,,460
2/5/2074,SI4298,BMcRoghni mirch,1,45,45,,45
2/5/2074,SI4299,Cadbury celebration 199g,1,255,255,,255
2/5/2074,SI4299,Exo dish wash 300gm,1,38,38,,38
2/5/2074,SI4300,Harpic rose 650ml,1,115,115,,115
2/5/2074,SI4300,Exo Dish wash 500gm,1,80,80,,80
2/5/2074,SI4300,Odonil rose 50gm,1,63,63,,63
2/5/2074,SI4300,Vim super powder 500gm,1,22,22,,22
2/5/2074,SI4300,Salt 1KG,5,20,100,,100
2/5/2074,SI4301,Tokla box 500 gm,1,185,185,,185
2/5/2074,SI4302,Jelly cup,1,40,40,,40
2/5/2074,SI4302,Soan papadi regular 400gm,1,260,260,,260
2/5/2074,SI4302,Tarai taichin 1kg,1,70,70,,70
2/5/2074,SI4303,DDC dairy Ghee 1/2 ltr,1,375,375,,375
2/5/2074,SI4303,TRESemme salon silk moisture 580ml,1,560,560,,560
2/5/2074,SI4303,Sunflow oil 1ltr,2,155,310,,310
2/5/2074,SI4304,Taichin 1kg,1,120,120,,120
2/5/2074,SI4305,J N J baby powder 50g,1,42,42,,42
2/5/2074,SI4305,DDC paneer 200gm,2,115,230,,230
2/5/2074,SI4305,Jonson baby hair oil 60ml,1,65,65,,65
2/5/2074,SI4306,Baygon 250ml,1,155,155,,155
2/5/2074,SI4306,Vim super powder 500gm,1,22,22,,22
2/5/2074,SI4307,Mung ko khosta1kg,1,180,180,,180
2/5/2074,SI4307,Glucon D regular 1kg,2,260,520,,520
2/5/2074,SI4308,Gatsby anti dandruff hair,1,110,110,,110
2/5/2074,SI4308,Catch Rai Whole 100g,1,52,52,,52
2/5/2074,SI4309,Cadbury celebrations rich dry fruit 177gm,1,640,640,,640
2/5/2074,SI4309,Cadbury celebration 199g,1,255,255,,255
2/5/2074,SI4310,Cadbury celebration 199g,2,255,510,,510
2/5/2074,SI4310,Cadbury celebration 141.9gm,1,162,162,,162
2/5/2074,SI4310,whisper ultra clean 7 pads,1,128,128,,128
2/5/2074,SI4310,Pran litchi juice 170ml,3,20,60,,60
2/5/2074,SI4310,Tic tac,1,20,20,,20
2/5/2074,SI4310,Stay free secure 8pads,1,55,55,,55
2/5/2074,SI4312,Soya chuks,1,35,35,,35
2/5/2074,SI4313,Navaratna extra thanda 50ml,1,52,52,,52
2/5/2074,SI4314,Colgate zigzag,1,40,40,,40
2/5/2074,SI4312,Khatta meetha 200g,1,82,82,,82
2/5/2074,SI4312,Khapse 200gm,1,70,70,,70
2/5/2074,SI4312,Hariyo kerau 200 gm,1,50,50,,50
2/5/2074,SI4312,Dogonut,1,80,80,,80
2/5/2074,SI4313,Pashupati Papad,4,15,60,,60
2/5/2074,SI4313,Bhujiya 340gm,2,105,210,,210
2/5/2074,SI4313,khairo vatmas(500gm),1,45,45,,45
2/5/2074,SI4314,Nebiko coconut 250 gm,1,50,50,,50
2/5/2074,SI4314,Bhujiya 340gm,1,105,105,,105
2/5/2074,SI4314,Mcvities digestive 75 gm pkt,2,25,50,,50
2/5/2074,SI4314,Bournvita crunchie cookies 46.5g,6,20,120,,120
2/5/2074,SI4314,Rahar ko nonpolish(1kg),1,275,275,,275
2/5/2074,SI4314,Dhara mustard oil 1/2ltr,1,103,103,,103
2/5/2074,SI4314,Choclairs 196gm,1,112,112,,112
2/5/2074,SI4314,Sunbeam premium 2ltr,1,590,590,,590
2/5/2074,SI4314,Oreo choco cream 50g,6,20,120,,120
2/5/2074,SI4314,Alpenliebe juzt jelly 62.9g,1,40,40,,40
2/5/2074,SI4314,kacho badam (500gm),1,100,100,,100
2/5/2074,SI4315,Hnd mix masala 50gm,1,25,25,,25
2/5/2074,SI4315,Bmc meat 50gm,1,45,45,,45
2/5/2074,SI4315,dabour herb gel tooth pest 150g,1,70,70,,70
2/5/2074,SI4315,Colin 500ml,1,118,118,,118
2/5/2074,SI4315,Bag 2 kg,1,5,5,,5
2/5/2074,SI4315,Casting soda 300gm,1,40,40,,40
2/5/2074,SI4316,bournvita cruncies cookies 120g,1,50,50,,50
2/5/2074,SI4317,Chocopie 6 packs,1,105,105,,105
2/5/2074,SI4317,Rasgulla 1kg,1,450,450,,450
2/5/2074,SI4318,kinder joy for girls,1,70,70,,70
2/5/2074,SI4318,Dairy milk chocolate 60gm,1,130,130,,130
2/5/2074,SI4318,Evliya selection choco life 700gm,1,420,420,,420
2/5/2074,SI4319,Colin 500ml,1,118,118,,118
2/5/2074,SI4319,Hanami Toasted 110 g,1,220,220,,220
2/5/2074,SI4320,Cadbury celebration 199g,2,255,510,,510
2/5/2074,SI4321,Amrit sunflower oil 1 lltr,1,135,135,,135
2/5/2074,SI4321,Methi dana 200 gm,1,45,45,,45
2/5/2074,SI4322,Bhujiya 340gm,1,105,105,,105
2/5/2074,SI4322,Puffino Regular grand 160gm,1,50,50,,50
2/5/2074,SI4322,Darling velvetto love candy 275gm,1,95,95,,95
2/5/2074,SI4322,Nebico butter cookies,1,40,40,,40
2/5/2074,SI4322,Mcv Marie 250gm,1,60,60,,60
2/5/2074,SI4323,Bag 2 kg,1,5,5,,5
2/5/2074,SI4323,Seto vatmas(1kg),1,85,85,,85
2/5/2074,SI4323,HND Jeera pouder 500gm,1,185,185,,185
2/5/2074,SI4323,kacho badam (500gm),1,100,100,,100
2/5/2074,SI4323,Musuro indian 1kg,1,145,145,,145
2/5/2074,SI4324,Kashmiri mirch power 50g,1,35,35,,35
2/5/2074,SI4325,Cadbury celebration 199g,2,255,510,,510
2/5/2074,SI4326,Chicken mo mo 45 pc,2,370,740,,740
2/5/2074,SI4327,laystomato,3,40,120,,120
2/5/2074,SI4327,Butter scotch500ml,1,145,145,,145
2/5/2074,SI4327,Jocker jar 38 gm,1,45,45,,45
2/5/2074,SI4328,Dazzy chocolate 100pc,1,200,200,,200
2/5/2074,SI4329,Choco pie 12 pc,1,200,200,,200
2/5/2074,SI4329,Cadbury celebratinng 64gm,1,80,80,,80
2/5/2074,SI4330,Nebico digestive sugarfree 220gm,1,100,100,,100
2/5/2074,SI4330,Everyday milk powder 400gm nestle,1,360,360,,360
2/5/2074,SI4331,Sprite 2.25ltr,1,180,180,,180
2/5/2074,SI4331,Love wimmys 3 pc,1,80,80,,80
2/5/2074,SI4331,Kitkat 26.3g,2,40,80,,80
2/5/2074,SI4332,Somersby Apple Cider 250ml,2,100,200,,200
2/5/2074,SI4332,Hariyo kerau 1 kg,1,80,80,,80
2/5/2074,SI4333,T3 red heart R&J,1,130,130,,130
2/5/2074,SI4333,Dairy milk slik fruit n nut 55gm,1,130,130,,130
2/5/2074,SI4333,Toblerone yellow 100g,1,210,210,,210
2/5/2074,SI4333,Mentos orange,1,20,20,,20
2/5/2074,SI4334,Himalya purifying neem face wash 150 ml,1,222,222,,222
2/5/2074,SI4334,Gatsby hard gel 150,1,125,125,,125
2/5/2074,SI4335,Bournville rich cocoa 80gm,1,198,198,,198
2/5/2074,SI4336,Pomegranate 1 ltr,1,160,160,,160
2/5/2074,SI4336,Potato chips hot & spicy 130g,1,200,200,,200
2/5/2074,SI4336,Amul kool koko chocolate milk,1,60,60,,60
2/5/2074,SI4336,Pran Pineapple juice250ml,1,50,50,,50
2/5/2074,SI4337,Navrattan 200gm,1,82,82,,82
2/5/2074,SI4337,Good day butter 250gm,1,74,74,,74
2/5/2074,SI4337,Ananta shakti khajuri 500 gm,1,165,165,,165
2/5/2074,SI4337,Bikanari bhujiya 400gm,1,165,165,,165
2/5/2074,SI4338,Rara,3,17,51,,51
2/5/2074,SI4338,Navrattan 200gm,1,82,82,,82
2/5/2074,SI4338,Parle Monaco 60 gm,3,10,30,,30
2/5/2074,SI4339,Toblerone yellow 50gm,1,125,125,,125
2/5/2074,SI4339,Nestle classic 18 gm,1,20,20,,20
2/5/2074,SI4340,Dairy Milk silk chocolate 150gm,3,320,960,,960
2/5/2074,SI4340,Happydent white,1,20,20,,20
2/5/2074,SI4341,lays66g,1,40,40,,40
2/5/2074,SI4341,kurekure masala,1,40,40,,40
2/5/2074,SI4341,Somersby Apple Cider 250ml,8,100,800,,800
2/5/2074,SI4342,Druk soya sauce 200g,1,50,50,,50
2/5/2074,SI4343,Taichin Rice 1 kg,1,105,105,,105
2/5/2074,SI4343,Mung ko khosta 500gm,1,90,90,,90
2/5/2074,SI4343,Maas ko chata 500gm,1,160,160,,160
2/5/2074,SI4343,Rahar ko nonpolish 500gm,1,138,138,,138
2/5/2074,SI4344,Nescafe 3 in 1 486gm (27stick),1,495,495,,495
2/5/2074,SI4344,Tuborg Can beer 500ml,2,200,400,,400
2/5/2074,SI4344,Envy 1000 135ml,1,305,305,,305
2/5/2074,SI4344,Lolane conditioner 320ml,1,195,195,,195
2/5/2074,SI4344,Lotte Nidoo 390gm,1,100,100,,100
2/5/2074,SI4344,Pawn big,1,30,30,,30
2/5/2074,SI4344,Happydent complete,3,10,30,,30
2/5/2074,SI4344,Buff d. m welcome 200gm,1,300,300,,300
2/5/2074,SI4344,Fresh & cool wipes 20pc rose,1,56,56,,56
2/5/2074,SI4344,Dove Daily shine conditioner 350 ml,1,320,320,,320
2/5/2074,SI4344,Lemon extract 30 pc,1,115,115,,115
2/5/2074,SI4344,Amul Kool kesar flavour 2ml,1,55,55,,55
2/5/2074,SI4345,Sprite 2.25ltr,1,180,180,,180
2/5/2074,SI4345,Royal stag 180ml,1,270,270,,270
2/5/2074,SI4346,Bag 2 kg,1,5,5,,5
2/5/2074,SI4346,Ice Cube 1 kg,1,45,45,,45
2/5/2074,SI4346,Premier tissue 100 pulls,1,98,98,,98
2/5/2074,SI4346,Mandarin orange 220gm,1,155,155,,155
2/5/2074,SI4347,Mix dal 1 kg ( gosaikunda),1,155,155,,155
2/5/2074,SI4347,Musuro indian 1kg,1,145,145,,145
2/5/2074,SI4348,Sugar 1 kg,5,84,420,,420
2/5/2074,SI4349,Orient 250gm,1,290,290,,290
2/5/2074,SI4349,Pawn big,1,30,30,,30
2/5/2074,SI4349,Bag 2 kg,1,5,5,,5
2/5/2074,SI4349,Choco pie 12 pc,1,200,200,,200
2/5/2074,SI4350,Sprite 330 ml can,1,65,65,,65
2/5/2074,SI4350,Krack jack 104gm,1,25,25,,25
2/5/2074,SI4351,Divine wine750ml,1,360,360,,360
2/5/2074,SI4352,Dahi 1000ml,1,120,120,,120
2/5/2074,SI4352,DDs Corn flakes sugar free 400gm box,1,145,145,,145
2/5/2074,SI4352,Kashmiri mixture 200g,1,132,132,,132
2/5/2074,SI4353,Sprite 2.25ltr,1,180,180,,180
2/5/2074,SI4353,Horlicks 1kg box,1,600,600,,600
2/5/2074,SI4353,gillette super thin blade,1,25,25,,25
2/5/2074,SI4354,Furandana saras 700 gm,1,135,135,,135
2/5/2074,SI4355,Cadbury celebretions rich dry fruit 120gm,1,400,400,,400
2/5/2074,SI4355,Gulab jamun indian 500gm,1,245,245,,245
2/5/2074,SI4355,Nepal Ice strong beer 650ml,1,205,205,,205
2/5/2074,SI4356,Dairy milk roast alomd 38gm,3,90,270,,270
2/5/2074,SI4357,Fanta 2.25tr,1,180,180,,180
2/5/2074,SI4357,DuracellAA2,1,95,95,,95
2/5/2074,SI4358,Dairy milk silk bubbly 50 gm,1,150,150,,150
2/5/2074,SI4359,Sugar 1 kg,3,84,2856,,2856
2/5/2074,SI4360,Fogg paradise 120ml,1,295,295,,295
2/5/2074,SI4360,Kashmiri mirch powder 100g,1,105,105,,105
2/5/2074,SI4360,Sugar 1 kg,1,84,84,,84
2/5/2074,SI4361,Amrit soyabean 1 ltr,3,115,345,,345
2/5/2074,SI4361,Sugar 1 kg,8,84,672,,672
2/5/2074,SI4362,Somersby Apple Cider 250ml,2,100,200,,200
2/5/2074,SI4363,Birthday cap midium,1,25,25,,25
2/5/2074,SI4363,Amrit sunflower oil 1 lltr,1,135,135,,135
2/5/2074,SI4363,Happydent white,1,20,20,,20
2/5/2074,SI4364,Saraswati rice 30kg,1,1325,1325,,1325
2/5/2074,SI4365,swastik naulo bread,1,35,35,,35
2/5/2074,SI4365,Real guava small 200ml,9,30,270,,270
2/5/2074,SI4366,T12 red heart R&J,1,325,325,,325
2/5/2074,SI4367,Red bull cash full 250ml,1,75,75,,75
2/5/2074,SI4367,Good day pista badam 200gm,1,84,84,,84
2/5/2074,SI4368,Love wimmys 3 pc,1,80,80,,80
2/5/2074,SI4368,Loly pop pis,1,15,15,,15
2/5/2074,SI4368,Barone 22g,1,20,20,,20
2/5/2074,SI4369,Nimkin 1/2 kg,1,160,160,,160
2/5/2074,SI4369,Hazella vanille  400gm,1,265,265,,265
2/5/2074,SI4369,Jumbo bread,1,70,70,,70
2/5/2074,SI4369,Nestle classic 18 gm,3,20,60,,60
2/5/2074,SI4369,Lips pink,3,20,60,,60
2/5/2074,SI4369,Bag 10kg,1,10,10,,10
2/5/2074,SI4370,Khapse 200gm,1,70,70,,70
2/5/2074,SI4370,Bag 2 kg,1,5,5,,5
2/5/2074,SI4370,Britania Marri gold 300gm,2,70,140,,140
2/5/2074,SI4370,Dairy Milk 5.8gm,2,10,20,,20
2/5/2074,SI4370,Little Hearts 75gm,1,30,30,,30
2/5/2074,SI4370,kwiks cheese b 25gm,1,20,20,,20
2/5/2074,SI4371,Fish pickle,1,45,45,,45
2/5/2074,SI4371,kinder joy for girls,1,35,35,,35
2/5/2074,SI4372,Cadbury celebretions rich dry fruit 120gm,1,400,400,,400
2/5/2074,SI4372,Loly pop pis,4,15,60,,60
2/5/2074,SI4373,Nescafe Classic 25gm,1,120,120,,120
2/5/2074,SI4373,Adity peanuts 100 gm,1,45,45,,45
2/5/2074,SI4373,Adity peanuts 30gm,2,15,30,,30
2/5/2074,SI4373,Sugar 1 kg,2,84,168,,168
2/5/2074,SI4374,Mamy Poko pants XL 32 pcs,1,790,790,,790
2/5/2074,SI4375,Butter scotch500ml,1,145,145,,145
2/5/2074,SI4375,Dairy milk chocolate 60gm,1,130,130,,130
2/5/2074,SI4375,T 3 heart,1,125,125,,125
2/5/2074,SI4375,Wai wai quick,2,18,36,,36
2/5/2074,SI4375,Complan  Memory charges 400 gm,1,425,425,,425
2/5/2074,SI4375,Nds Ghee 1/2 ltr,1,385,385,,385
2/5/2074,SI4376,Furandana saras 700 gm,1,135,135,,135
2/5/2074,SI4376,Egg 15,1,190,190,,190
2/5/2074,SI4376,Dabur amla hair oil 275ml,1,195,195,,195
2/5/2074,SI4376,Pitambari(Shiner for brass),2,45,90,,90
2/5/2074,SI4376,White Oats 1kg,1,310,310,,310
2/5/2074,SI4376,Moth mung 1/2kg,1,90,90,,90
2/5/2074,SI4376,Pril perfect 100gm,4,16,64,,64
2/5/2074,SI4376,Kwati Local 1 kg,1,130,130,,130
2/5/2074,SI4376,Mung ko khosta1kg,1,180,180,,180
2/5/2074,SI4376,Rahar ko nonpolish(1kg),1,275,275,,275
2/5/2074,SI4376,Heritage radiant rose 70N,1,100,100,,100
2/5/2074,SI4376,Colgate Herbal 100gm,3,80,240,,240
2/5/2074,SI4376,Asmi Chiuree Neem soap 100gm,6,85,510,,510
2/5/2074,SI4376,Salt 1KG,2,20,40,,40
2/5/2074,SI4376,Real mixed fruit 1 ltr,1,210,210,,210
2/5/2074,SI4376,Ramro Royale Frity Bite 85 gm,1,45,45,,45
2/5/2074,SI4376,Chana Daal A 1/2 kg,1,105,105,,105
2/5/2074,SI4376,Shiva pujari  jeera geda 500gm,1,220,220,,220
2/5/2074,SI4376,Tarai taichin 1kg,1,70,70,,70
2/5/2074,SI4376,Musuro indian(500gm),1,73,73,,73
2/5/2074,SI4377,Egg 15,1,190,190,,190
2/5/2074,SI4377,Naulo bread,1,40,40,,40
2/5/2074,SI4378,Bambino macaroni  450gm,1,100,100,,100
2/5/2074,SI4378,Prawn crackers 120 gm,1,35,35,,35
2/5/2074,SI4378,Wallnut dana 200gm,1,135,135,,135
2/5/2074,SI4378,Kalash peanut 400gm,1,120,120,,120
2/5/2074,SI4379,Garnier men oil clear facewash 100gm,1,264,264,,264
2/5/2074,SI4379,Set wet Cool hold gel 100ml,1,145,145,,145
2/5/2074,SI4379,Foxs Blackcurrant flavoured 180gm,1,225,225,,225
2/5/2074,SI4379,Cinthol deo 3 pc 225 gm,1,140,140,,140
2/5/2074,SI4379,Sensodyne fresh gel 150gm,1,240,240,,240
2/5/2074,SI4379,Cool mint,1,25,25,,25
2/5/2074,SI4379,Head & shoulders c. b shampoo 170 ml,1,190,190,,190
2/5/2074,SI4379,Happydent white xylitol sugar free bottle,1,70,70,,70
2/5/2074,SI4379,Bag 10kg,1,10,10,,10
2/5/2074,SI4379,Toblerone white 100gr,1,235,235,,235
2/5/2074,SI4380,Chocopie 6 packs,1,105,105,,105
2/5/2074,SI4381,Exo Dish wash 85gm bar,6,10,60,,60
2/5/2074,SI4381,Tar jali 50 grms,1,35,35,,35
2/5/2074,SI4382,Furundana,1,160,160,,160
2/5/2074,SI4382,Real Cranberry 1 ltr,2,210,420,,420
2/5/2074,SI4383,Nepal Ice strong beer 650ml,2,205,410,,410
2/5/2074,SI4384,Amrit sunflower oil 1 lltr,1,135,135,,135
2/5/2074,SI4384,Dettol original soap 3 pc 75*3 gm,1,115,115,,115
2/5/2074,SI4384,Exo Dish wash 500gm,1,80,80,,80
2/5/2074,SI4384,Wheel lemon & jasmine 1 kg,1,70,70,,70
2/5/2074,SI4384,Sunsilk black 350 ml,1,255,255,,255
2/5/2074,SI4385,Amrit sunflower oil 1 lltr,2,135,270,,270
2/5/2074,SI4385,Dettol original soap 3 pc 75*3 gm,2,115,230,,230
2/5/2074,SI4385,Colgate Active salt 200gm,1,145,145,,145
2/5/2074,SI4385,Exo Dish wash 500gm,1,80,80,,80
2/5/2074,SI4385,Pantene silky smooth care 340ml,1,245,245,,245
2/5/2074,SI4385,Pearl jeera 25kg,1,1675,1675,,1675
2/5/2074,SI4385,Sunsilk black 350 ml,1,255,255,,255
2/5/2074,SI4386,Ariel complete surf 200gm,1,62,62,,62
2/5/2074,SI4386,Amrit soyabean 1 ltr,4,115,460,,460
2/5/2074,SI4386,Lokal masko dal 500grm,1,150,150,,150
2/5/2074,SI4386,Rajma chirke(500gm),1,83,83,,83
2/5/2074,SI4386,Kwati 500g,1,65,65,,65
2/5/2074,SI4386,Musuro indian(500gm),1,73,73,,73
2/5/2074,SI4387,Oreo choco cream 150gm,2,70,140,,140
2/5/2074,SI4387,Good day choco chips 150gm,1,80,80,,80
2/5/2074,SI4387,Nebico saltino 155gm,1,35,35,,35
2/5/2074,SI4387,Good day butter 250gm,1,74,74,,74
2/5/2074,SI4387,Navartan mixtur400gm,1,160,160,,160
2/5/2074,SI4387,Kaju 200gm,1,340,340,,340
2/5/2074,SI4387,Good day kaju 200gm,1,74,74,,74
2/5/2074,SI4387,Dairy milk silk bubbly 50 gm,2,150,300,,300
2/5/2074,SI4387,Hariyo kerau 200 gm,1,50,50,,50
2/5/2074,SI4387,Kitkat 18gm,2,30,60,,60
2/5/2074,SI4387,bournvita cruncies cookies 120g,1,50,50,,50
2/5/2074,SI4387,Good day pista badam 200gm,1,84,84,,84
2/5/2074,SI4388,Gulab jamun 1kg,1,460,460,,460
2/5/2074,SI4389,Aqua Jar,1,65,65,,65
2/5/2074,SI4390,Fresh pepper breath strips 24 pc,1,70,70,,70
2/5/2074,SI4390,Jocker jar 38 gm,1,45,45,,45
2/5/2074,SI4391,Desi badam 100gm,1,150,150,,150
2/5/2074,SI4391,Nescafe gold 100gm,1,700,700,,700
2/5/2074,SI4392,Set Wet cool hold 50ml,1,80,80,,80
